REF_AREA,INDICATOR,SEX,AGE,AGE_AT_BIRTH,WEALTH_QUINTILE,RESIDENCE,MOTHER_EDUCATION,DATA_SOURCE,UNIT_MULTIPLIER,UNIT_MEASURE,SERIES_FOOTNOTE,SUB_SECTOR,TIME_PERIOD,OBS_VALUE,SOWC_FLAG_A,DATA_SOURCE_PRIORITY,OBS_STATUS,OBS_CONF,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,UNWGTD_SAMPL_SIZE,OBS_FOOTNOTE,SOURCE_LINK,TIME_PERIOD_METHOD,COVERAGE_TIME
LAO,MNCH_ANC4,_T,Y15T49,_T,_T,R,_T,MNCH_SRC_1254,0,PCNT,,ANTENATAL,2012,27.2,,1,RP,F,,,,,,,EOF,
LAO,MNCH_ANC4,_T,Y15T49,_T,_T,R,_T,MNCH_SRC_709,0,PCNT,,ANTENATAL,2017,55.1,,1,RP,F,,,,,,,EOF,
LAO,MNCH_ANC4,_T,Y15T49,_T,_T,R,_T,MNCH_SRC_3299,0,PCNT,,ANTENATAL,2023,66.3,,1,RP,F,,,,,,CRAVE 2025 - Template,EOF,
SDGRC_ESCAP_OTHER_AREA,MNCH_ANC4,_T,Y15T49,_T,Q5,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2000,70.8,,1,RA,F,,,,,,,EOF,
SDGRC_ESCAP_OTHER_AREA,MNCH_ANC4,_T,Y15T49,_T,Q5,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2001,71.2,,1,RA,F,,,,,,,EOF,
SDGRC_ESCAP_OTHER_AREA,MNCH_ANC4,_T,Y15T49,_T,Q5,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2002,71.5,,1,RA,F,,,,,,,EOF,
SDGRC_ESCAP_OTHER_AREA,MNCH_ANC4,_T,Y15T49,_T,Q5,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2003,71.8,,1,RA,F,,,,,,,EOF,
SDGRC_ESCAP_OTHER_AREA,MNCH_ANC4,_T,Y15T49,_T,Q5,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2004,72.6,,1,RA,F,,,,,,,EOF,
SDGRC_ESCAP_OTHER_AREA,MNCH_ANC4,_T,Y15T49,_T,Q5,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2005,73.4,,1,RA,F,,,,,,,EOF,
SDGRC_ESCAP_OTHER_AREA,MNCH_ANC4,_T,Y15T49,_T,Q5,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2006,74.4,,1,RA,F,,,,,,,EOF,
SDGRC_ESCAP_OTHER_AREA,MNCH_ANC4,_T,Y15T49,_T,Q5,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2007,75.3,,1,RA,F,,,,,,,EOF,
SDGRC_ESCAP_OTHER_AREA,MNCH_ANC4,_T,Y15T49,_T,Q5,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2008,75.4,,1,RA,F,,,,,,,EOF,
SDGRC_ESCAP_OTHER_AREA,MNCH_ANC4,_T,Y15T49,_T,Q5,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2009,75.8,,1,RA,F,,,,,,,EOF,
SDGRC_ESCAP_OTHER_AREA,MNCH_ANC4,_T,Y15T49,_T,Q5,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2010,75.9,,1,RA,F,,,,,,,EOF,
SDGRC_ESCAP_OTHER_AREA,MNCH_ANC4,_T,Y15T49,_T,Q5,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2011,75.7,,1,RA,F,,,,,,,EOF,
SDGRC_ESCAP_OTHER_AREA,MNCH_ANC4,_T,Y15T49,_T,Q5,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2012,76.2,,1,RA,F,,,,,,,EOF,
SDGRC_ESCAP_OTHER_AREA,MNCH_ANC4,_T,Y15T49,_T,Q5,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2013,76.4,,1,RA,F,,,,,,,EOF,
SDGRC_ESCAP_OTHER_AREA,MNCH_ANC4,_T,Y15T49,_T,Q5,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2014,76.8,,1,RA,F,,,,,,,EOF,
SDGRC_ESCAP_OTHER_AREA,MNCH_ANC4,_T,Y15T49,_T,Q5,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2015,77.1,,1,RA,F,,,,,,,EOF,
SDGRC_ESCAP_OTHER_AREA,MNCH_ANC4,_T,Y15T49,_T,Q5,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2016,77.5,,1,RA,F,,,,,,,EOF,
SDGRC_ESCAP_OTHER_AREA,MNCH_ANC4,_T,Y15T49,_T,Q5,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2017,77.9,,1,RA,F,,,,,,,EOF,
SDGRC_ESCAP_OTHER_AREA,MNCH_ANC4,_T,Y15T49,_T,Q5,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2018,78.1,,1,RA,F,,,,,,,EOF,
SDGRC_ESCAP_OTHER_AREA,MNCH_ANC4,_T,Y15T49,_T,Q5,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2019,78,,1,RA,F,,,,,,,EOF,
SDGRC_ESCAP_OTHER_AREA,MNCH_ANC4,_T,Y15T49,_T,Q5,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2020,78,,1,RA,F,,,,,,,EOF,
SDGRC_ESCAP_OTHER_AREA,MNCH_ANC4,_T,Y15T49,_T,Q5,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2021,77.8,,1,RA,F,,,,,,,EOF,
SDGRC_ESCAP_OTHER_AREA,MNCH_ANC4,_T,Y15T49,_T,Q5,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2022,77.3,,1,RA,F,,,,,,,EOF,
SDGRC_ESCAP_OTHER_AREA,MNCH_ANC4,_T,Y15T49,_T,Q5,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2023,77.3,,1,RA,F,,,,,,,EOF,
SDGRC_ESCAP_OTHER_AREA,MNCH_ANC4,_T,Y15T49,_T,Q5,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2024,77.4,,1,RA,F,,,,,,,EOF,
SDGRC_ESCAP_OTHER_AREA,MNCH_ANC4,_T,Y15T49,_T,Q5,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2025,76.7,,1,RA,F,,,,,,,EOF,
SDGRC_ESCWA_ARAB_HIGH,MNCH_ANC4,_T,Y15T49,_T,Q4,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2000,86.8,,1,RA,F,,,,,,,EOF,
SDGRC_ESCWA_ARAB_HIGH,MNCH_ANC4,_T,Y15T49,_T,Q4,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2001,87,,1,RA,F,,,,,,,EOF,
SDGRC_ESCWA_ARAB_HIGH,MNCH_ANC4,_T,Y15T49,_T,Q4,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2002,87.6,,1,RA,F,,,,,,,EOF,
SDGRC_ESCWA_ARAB_HIGH,MNCH_ANC4,_T,Y15T49,_T,Q4,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2003,87.6,,1,RA,F,,,,,,,EOF,
SDGRC_ESCWA_ARAB_HIGH,MNCH_ANC4,_T,Y15T49,_T,Q4,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2004,87.9,,1,RA,F,,,,,,,EOF,
SDGRC_ESCWA_ARAB_HIGH,MNCH_ANC4,_T,Y15T49,_T,Q4,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2005,88.4,,1,RA,F,,,,,,,EOF,
SDGRC_ESCWA_ARAB_HIGH,MNCH_ANC4,_T,Y15T49,_T,Q4,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2006,88.9,,1,RA,F,,,,,,,EOF,
SDGRC_ESCWA_ARAB_HIGH,MNCH_ANC4,_T,Y15T49,_T,Q4,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2007,89,,1,RA,F,,,,,,,EOF,
SDGRC_ESCWA_ARAB_HIGH,MNCH_ANC4,_T,Y15T49,_T,Q4,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2008,89.4,,1,RA,F,,,,,,,EOF,
SDGRC_ESCWA_ARAB_HIGH,MNCH_ANC4,_T,Y15T49,_T,Q4,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2009,90,,1,RA,F,,,,,,,EOF,
SDGRC_ESCWA_ARAB_HIGH,MNCH_ANC4,_T,Y15T49,_T,Q4,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2010,90.6,,1,RA,F,,,,,,,EOF,
SDGRC_ESCWA_ARAB_HIGH,MNCH_ANC4,_T,Y15T49,_T,Q4,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2011,91,,1,RA,F,,,,,,,EOF,
SDGRC_ESCWA_ARAB_HIGH,MNCH_ANC4,_T,Y15T49,_T,Q4,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2012,91.2,,1,RA,F,,,,,,,EOF,
SDGRC_ESCWA_ARAB_HIGH,MNCH_ANC4,_T,Y15T49,_T,Q4,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2013,91.2,,1,RA,F,,,,,,,EOF,
SDGRC_ESCWA_ARAB_HIGH,MNCH_ANC4,_T,Y15T49,_T,Q4,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2014,90.9,,1,RA,F,,,,,,,EOF,
SDGRC_ESCWA_ARAB_HIGH,MNCH_ANC4,_T,Y15T49,_T,Q4,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2015,90.6,,1,RA,F,,,,,,,EOF,
SDGRC_ESCWA_ARAB_HIGH,MNCH_ANC4,_T,Y15T49,_T,Q4,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2016,90.5,,1,RA,F,,,,,,,EOF,
SDGRC_ESCWA_ARAB_HIGH,MNCH_ANC4,_T,Y15T49,_T,Q4,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2017,90.1,,1,RA,F,,,,,,,EOF,
SDGRC_ESCWA_ARAB_HIGH,MNCH_ANC4,_T,Y15T49,_T,Q4,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2018,89.6,,1,RA,F,,,,,,,EOF,
SDGRC_ESCWA_ARAB_HIGH,MNCH_ANC4,_T,Y15T49,_T,Q4,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2019,89.5,,1,RA,F,,,,,,,EOF,
SDGRC_ESCWA_ARAB_HIGH,MNCH_ANC4,_T,Y15T49,_T,Q4,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2020,89.9,,1,RA,F,,,,,,,EOF,
SDGRC_ESCWA_ARAB_HIGH,MNCH_ANC4,_T,Y15T49,_T,Q4,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2021,90,,1,RA,F,,,,,,,EOF,
SDGRC_ESCWA_ARAB_HIGH,MNCH_ANC4,_T,Y15T49,_T,Q4,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2022,90.3,,1,RA,F,,,,,,,EOF,
SDGRC_ESCWA_ARAB_HIGH,MNCH_ANC4,_T,Y15T49,_T,Q4,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2023,90.9,,1,RA,F,,,,,,,EOF,
SDGRC_ESCWA_ARAB_HIGH,MNCH_ANC4,_T,Y15T49,_T,Q4,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2024,91.1,,1,RA,F,,,,,,,EOF,
SDGRC_ESCWA_ARAB_HIGH,MNCH_ANC4,_T,Y15T49,_T,Q4,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2025,91.2,,1,RA,F,,,,,,,EOF,
MAR,MNCH_ANC4,_T,Y15T49,_T,Q5,_T,_T,MNCH_SRC_3304,0,PCNT,,ANTENATAL,2018,69.6,,1,RP,F,,,,,,,EOF,
MAR,MNCH_ANC4,_T,Y15T49,_T,Q5,_T,_T,MNCH_SRC_1497,0,PCNT,,ANTENATAL,2011,73.9,,1,RP,F,,,,,,,EOF,
SDGRC_ECA_SIS,MNCH_ANC4,_T,Y15T49,_T,Q3,_T,_T,MNCH_SRC_2917,0,PCNT,,ANTENATAL,2008,55.5,,1,RA,F,,,,,,,EOF,
