outcome,area,country,source_country_name,region,year,observed,expected_median,expected_lower,expected_upper,model_source,excess_median,excess_lower,excess_upper,signed_deviation,observed_expected_ratio,log_observed_expected_ratio
mmr,1,Afghanistan,Afghanistan,Eastern Mediterranean,2020,633.6,579.861769141,557.239711603,603.725522963,ensemble_top4,53.738230859,29.8744770374,76.3602883968,53.738230859,1.09267420913,0.0886280944318
mmr,1,Afghanistan,Afghanistan,Eastern Mediterranean,2021,660.2,554.877268946,531.258548561,578.58758588,ensemble_top4,105.322731054,81.6124141201,128.941451439,105.322731054,1.18981266119,0.173795867161
mmr,1,Afghanistan,Afghanistan,Eastern Mediterranean,2022,550.7,530.981961251,507.595238333,554.542239087,ensemble_top4,19.7180387492,0,43.1047616668,19.7180387492,1.03713504448,0.0364621468826
mmr,1,Afghanistan,Afghanistan,Eastern Mediterranean,2023,520.5,507.668997084,484.566139291,532.653335792,ensemble_top4,12.8310029156,0,35.9338607095,12.8310029156,1.02527434803,0.0249602333899
mmr,2,Albania,Albania,European Region,2020,7.03,6.74451982912,5.63414241829,8.09529099212,ensemble_top4,0.285480170883,0,1.39585758171,0.285480170883,1.04232772356,0.0414564078567
mmr,2,Albania,Albania,European Region,2021,13.8,6.31844300332,5.06988833157,7.8301071501,ensemble_top4,7.48155699668,5.9698928499,8.73011166843,7.48155699668,2.18408237484,0.781195774591
mmr,2,Albania,Albania,European Region,2022,8,5.90585685962,4.44659189676,7.59114127582,ensemble_top4,2.09414314038,0.408858724182,3.55340810324,2.09414314038,1.35458752052,0.303496995086
mmr,2,Albania,Albania,European Region,2023,6.87,5.48140999246,3.88875439192,7.39050277177,ensemble_top4,1.38859000754,0,2.98124560808,1.38859000754,1.2533271566,0.225801740475
mmr,3,Algeria,Algeria,African Region,2020,96.77,76.6318554829,64.1990522442,83.542009962,ensemble_top4,20.1381445171,13.227990038,32.5709477558,20.1381445171,1.26279077272,0.233324170672
mmr,3,Algeria,Algeria,African Region,2021,78.86,76.4489318215,61.0492342991,83.8620498305,ensemble_top4,2.41106817852,0,17.8107657009,2.41106817852,1.03153828472,0.0310511684221
mmr,3,Algeria,Algeria,African Region,2022,64.46,76.1740468614,58.009606738,84.0433936026,ensemble_top4,0,0,6.45039326199,-11.7140468614,0.846219974597,-0.166975935921
mmr,3,Algeria,Algeria,African Region,2023,62.49,76.1461436055,54.8937904538,84.1642930246,ensemble_top4,0,0,7.59620954622,-13.6561436055,0.820658762757,-0.197647892036
mmr,4,Andorra,Andorra,European Region,2020,48.45,10.4442986388,8.30037815193,14.5088333246,ensemble_top4,38.0057013612,33.9411666754,40.1496218481,38.0057013612,4.63889454673,1.53447609361
mmr,4,Andorra,Andorra,European Region,2021,17.81,10.3528684231,8.18202252631,17.1222830442,ensemble_top4,7.45713157686,0.687716955781,9.62797747369,7.45713157686,1.72029617996,0.542496473655
mmr,4,Andorra,Andorra,European Region,2022,16.6,10.1970326568,7.91742994756,21.2257085836,ensemble_top4,6.4029673432,0,8.68257005244,6.4029673432,1.6279245697,0.487305933397
