outcome,area,country,region,source_country_name,model_source,source_model_file
mmr,1,Afghanistan,Eastern Mediterranean,Afghanistan,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-mmr-deaths-world-area-1-01-01-2019.csv
mmr,2,Albania,European Region,Albania,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-mmr-deaths-world-area-2-01-01-2019.csv
mmr,3,Algeria,African Region,Algeria,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-mmr-deaths-world-area-3-01-01-2019.csv
mmr,4,Andorra,European Region,Andorra,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-mmr-deaths-world-area-4-01-01-2019.csv
mmr,5,Angola,African Region,Angola,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-mmr-deaths-world-area-5-01-01-2019.csv
mmr,6,Antigua and Barbuda,Region of the Americas,Antigua and Barbuda,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-mmr-deaths-world-area-6-01-01-2019.csv
mmr,7,Argentina,Region of the Americas,Argentina,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-mmr-deaths-world-area-7-01-01-2019.csv
mmr,8,Armenia,European Region,Armenia,ranked_top1_fallback,ranked(1)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-yearly-mmr-deaths-world-area-8-01-01-2019.csv
mmr,9,Australia,Western Pacific Region,Australia,ranked_top1_fallback,ranked(1)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-yearly-mmr-deaths-world-area-9-01-01-2019.csv
mmr,10,Austria,European Region,Austria,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-mmr-deaths-world-area-10-01-01-2019.csv
mmr,11,Azerbaijan,European Region,Azerbaijan,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-mmr-deaths-world-area-11-01-01-2019.csv
mmr,12,Bahamas,Region of the Americas,Bahamas,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-mmr-deaths-world-area-12-01-01-2019.csv
